hotel_name,air_conditioning,breakfast,cleanliness,excellent_ratings,free_parking,free_wifi,hotel_class,hotel_style,house_keeping,iron,location,number_reviews,overall_rating,pool,private_balcony,refrigerator,restaurant,room_service,service,taxi_service,tv,value
Novotel Leeds Centre Hotel,No,No,4.5,"1,073",No,YES,4,"Green,Modern",YES,YES,4.5,"2,568",4,No,No,YES,YES,YES,4.5,No,YES,4
Thorpe Park Hotel & Spa,No,No,4.5,938,YES,YES,4,"Business,Charming",YES,No,4,"1,459",4.5,YES,No,No,YES,YES,4.5,No,YES,4.5
Jurys Inn Leeds,YES,No,4.5,"1,290",No,YES,4,"Business,Modern",YES,No,4.5,"2,961",4,No,No,No,YES,YES,4.5,No,YES,4
Clayton Hotel Leeds,No,No,4.5,"1,054",No,YES,4,"Mid-range,Family",YES,YES,4,"2,198",4,No,No,No,YES,YES,4.5,No,YES,4
Park Plaza Leeds,YES,No,4,"1,339",No,YES,4,"Centrally Located,Mid-range",YES,YES,4.5,"3,819",3.5,No,No,No,YES,YES,4,No,YES,4
Crowne Plaza Leeds,YES,No,4.5,942,No,YES,4,"Family,Mid-range",YES,YES,4,"2,130",4,YES,No,YES,YES,YES,4.5,No,YES,4
Village Hotel Leeds North,No,No,4,957,No,YES,3,Family,YES,YES,4,"3,673",3.5,No,No,No,YES,YES,4,No,YES,3.5
Ibis Styles Leeds City Centre Arena,YES,YES,4.5,301,No,YES,3,"Quiet,Trendy",YES,No,4.5,579,4.5,No,No,No,YES,No,4.5,No,YES,4.5
The Queens Hotel - Leeds,YES,No,4.5,"1,936",No,YES,4,"Art Deco Style,Historic Hotel",YES,YES,5,"4,151",4,No,No,YES,YES,YES,4.5,No,YES,4
"Radisson Blu Hotel, Leeds City Centre",YES,No,4.5,"1,111",No,YES,4,"Green,Business",YES,No,4.5,"2,575",4,No,No,YES,YES,YES,4,No,YES,4
Cosmopolitan Hotel,No,No,4,763,No,YES,3,"Centrally Located,Business",YES,YES,4.5,"1,947",4,No,No,No,YES,YES,4.5,No,YES,4
Malmaison Leeds,YES,No,4.5,"1,205",No,YES,4,"Charming,Romantic",YES,YES,4.5,"2,292",4.5,No,No,YES,YES,YES,4.5,No,YES,4
Doubletree by Hilton Hotel Leeds City Centre,YES,No,4.5,"2,569",No,YES,4,"Great View,Mid-range",YES,YES,4.5,"4,977",4.5,No,No,YES,YES,YES,4.5,No,YES,4
Dakota Leeds,YES,No,5,"1,231",No,YES,3,"Trendy,Business",YES,YES,5,"1,393",5,No,No,No,YES,YES,5,No,YES,4.5
Opal 1 & 2,No,No,1,0,No,No,2,Budget,No,No,1,4,2,No,No,YES,YES,No,1,No,No,1
Vista Serviced Apartments,No,No,3.5,4,No,YES,2,Modern,No,No,4,6,4,No,No,No,No,No,4,No,No,4
University of Leeds - Storm Jameson Court,No,No,4,10,No,YES,4,Nil10,No,No,4,30,3.5,YES,No,No,No,No,4,No,No,3.5
Wheelgate Guest House,No,No,2,3,YES,No,3,Nil11,No,No,3,63,2,No,No,No,No,No,2,No,No,2
Hillcroft Barn,No,No,5,72,YES,YES,3,Centrally Located,No,No,4.5,90,5,No,No,YES,No,YES,4.5,No,No,4.5
The Midland Hotel,No,YES,4.5,123,YES,YES,3,Family,No,No,4.5,217,4,No,No,No,YES,No,4.5,No,YES,4.5
Half Moon Inn,No,No,4,33,No,YES,3,Nil12,No,No,4,93,3.5,No,No,No,YES,YES,4,No,No,3.5
